city,state,country,shape,duration (seconds),duration (hours/min),date posted,latitude,longitude,date,time,lat_bin,long_bin
fleetwood,pa,United States,oval,15.0,15 seconds,8/11/2004,40.4538889,-75.8183333,10/25/2003,18:24,"(39.927, 40.655]","(-76.978, -74.629]"
san diego,ca,United States,triangle,300.0,5 minutes,10/31/2003,32.7152778,-117.1563889,10/25/2003,21:00,"(30.421, 32.776]","(-118.34, -116.419]"
scappoose,or,United States,triangle,5.0,5 seconds,10/31/2003,45.7544444,-122.8763889,10/25/2003,21:15,"(44.712, 46.73]","(-169.543, -122.483]"
westminster,co,United States,triangle,15.0,15 seconds,10/31/2003,39.8366667,-105.0366667,10/25/2003,21:39,"(39.162, 39.927]","(-111.694, -104.058]"
killeen,tx,United States,sphere,3.0,3 seconds,10/31/2008,31.1169444,-97.7275,10/25/2003,22:00,"(30.421, 32.776]","(-104.058, -96.949]"
san lorenzo,ca,United States,changing,900.0,15 minutes,10/31/2003,37.6811111,-122.1233333,10/25/2003,22:00,"(37.669, 38.582]","(-122.483, -121.787]"
trotwood,oh,United States,other,120.0,2 mins,10/31/2003,39.7972222,-84.3113889,10/25/2003,22:40,"(39.162, 39.927]","(-85.922, -83.971]"
trotwood,oh,United States,other,120.0,2 mins.,12/9/2003,39.7972222,-84.3113889,10/25/2003,22:40,"(39.162, 39.927]","(-85.922, -83.971]"
mcminnville,or,United States,cigar,30.0,30 seconds,1/21/2008,45.2102778,-123.1975,10/25/2004,00:00,"(44.712, 46.73]","(-169.543, -122.483]"
fountain hills,az,United States,triangle,1200.0,20 minutes,11/2/2004,33.6116667,-111.7166667,10/25/2004,00:30,"(32.776, 33.631]","(-116.419, -111.694]"
m. fokani/hims (syria),,Fuck,sphere,120.0,2 min,11/3/2005,34.809422,37.094261,10/25/2004,04:21,"(34.148, 35.227]","(-3.381, 178.018]"
brewster,wa,United States,flash,2.0,2 seconds,10/27/2004,48.0961111,-119.7794444,10/25/2004,10:45,"(46.73, 48.88]","(-121.787, -118.34]"
brecksville,oh,United States,other,600.0,10 minutes,11/2/2004,41.3197222,-81.6269444,10/25/2004,12:00,"(41.246, 41.721]","(-82.495, -80.966]"
burlington,ma,United States,disk,10.0,10 seconds,10/27/2004,42.5047222,-71.1961111,10/25/2004,19:00,"(42.439, 43.174]","(-72.787, -3.381]"
bedford,in,United States,circle,2.0,2 consecutive nights,10/8/2007,38.8611111,-86.4872222,10/25/2004,21:00,"(38.582, 39.162]","(-87.821, -85.922]"
fortson,ga,United States,cone,180.0,3 minutes--ongoing,10/27/2004,32.6069444,-84.9372222,10/25/2004,21:19,"(30.421, 32.776]","(-85.922, -83.971]"
morgan hill,ca,United States,flash,1200.0,20 minutes,11/3/2005,37.1305556,-121.6533333,10/25/2005,02:00,"(36.2, 37.669]","(-121.787, -118.34]"
st. louis,mo,United States,other,300.0,5 minutes,11/3/2005,38.6272222,-90.1977778,10/25/2005,17:50,"(38.582, 39.162]","(-93.855, -90.198]"
surprise,az,United States,light,37800.0,11/2hr,11/3/2005,33.6305556,-112.3325,10/25/2005,19:30,"(32.776, 33.631]","(-116.419, -111.694]"
canon city,co,United States,light,300.0,5 mins,11/3/2005,38.4,-105.2166667,10/25/2005,20:35,"(37.669, 38.582]","(-111.694, -104.058]"
miami beach,fl,United States,chevron,60.0,1 minute,11/3/2005,25.7902778,-80.1302778,10/25/2005,22:00,"(-46.165, 27.9]","(-80.966, -79.417]"
milwaukee,wi,United States,triangle,120.0,1/2 minute,11/8/2005,43.0388889,-87.9063889,10/25/2005,23:00,"(42.439, 43.174]","(-90.198, -87.821]"
colorado (in flight to),,Fuck,other,240.0,4 minutes,5/12/2009,39.550051,-105.782067,10/25/2005,24:00,"(39.162, 39.927]","(-111.694, -104.058]"
pasadena,ca,United States,circle,720.0,12 minutes,11/3/2005,34.1477778,-118.1436111,10/25/2005,24:00,"(33.631, 34.148]","(-118.34, -116.419]"
bradenton,fl,United States,fireball,180.0,3 minutes,10/30/2006,27.4986111,-82.575,10/25/2006,00:00,"(-46.165, 27.9]","(-83.971, -82.495]"
champaign,il,United States,changing,600.0,10 minutes,10/30/2006,40.1163889,-88.2433333,10/25/2006,16:00,"(39.927, 40.655]","(-90.198, -87.821]"
tokyo (japan),,Japan,light,120.0,2 mins,2/1/2007,35.689488,139.691706,10/25/2006,18:00,"(35.227, 36.2]","(-3.381, 178.018]"
fairbury,il,United States,oval,10.0,10 seconds,10/30/2006,40.7472222,-88.5147222,10/25/2006,19:15,"(40.655, 41.246]","(-90.198, -87.821]"
mandan,nd,United States,circle,300.0,5 minutes,12/7/2006,46.8266667,-100.8891667,10/25/2006,19:30,"(46.73, 48.88]","(-104.058, -96.949]"
paphos (cyprus),,Cyprus,sphere,120.0,2 minutes,12/7/2006,34.772013,32.429737,10/25/2006,20:25,"(34.148, 35.227]","(-3.381, 178.018]"
cooper city,fl,United States,changing,120.0,2 minutes,10/30/2006,26.0569444,-80.2719444,10/25/2006,20:53,"(-46.165, 27.9]","(-80.966, -79.417]"
st. augustine,fl,United States,fireball,120.0,2 minutes,10/30/2006,29.8944444,-81.3147222,10/25/2006,20:54,"(27.9, 30.421]","(-82.495, -80.966]"
fort pierce,fl,United States,unknown,60.0,1 minute,10/30/2006,27.4463889,-80.3258333,10/25/2006,20:57,"(-46.165, 27.9]","(-80.966, -79.417]"
orlando,fl,United States,fireball,300.0,5 minutes,10/30/2006,28.5380556,-81.3794444,10/25/2006,21:00,"(27.9, 30.421]","(-82.495, -80.966]"
imperial beach,ca,United States,unknown,10.0,10 sec,12/7/2006,32.5838889,-117.1122222,10/25/2006,21:01,"(30.421, 32.776]","(-118.34, -116.419]"
jensen beach,ga,United States,sphere,45.0,45 seconds,10/30/2006,32.165622,-82.900075,10/25/2006,22:30,"(30.421, 32.776]","(-83.971, -82.495]"
forestville,ca,United States,formation,3600.0,1 hour,10/30/2006,38.4736111,-122.8891667,10/25/2006,23:30,"(37.669, 38.582]","(-169.543, -122.483]"
forestville,ca,United States,formation,3600.0,1 hour,10/30/2006,38.4736111,-122.8891667,10/25/2006,23:30,"(37.669, 38.582]","(-169.543, -122.483]"
warwick,ri,United States,triangle,10.0,10 seconds,10/30/2006,41.7,-71.4166667,10/25/2006,23:50,"(41.246, 41.721]","(-72.787, -3.381]"
defiance,oh,United States,triangle,30.0,30 seconds,11/28/2007,41.2844444,-84.3558333,10/25/2007,02:50,"(41.246, 41.721]","(-85.922, -83.971]"
tinker afb,ok,United States,unknown,4.0,3-4 seconds,11/28/2007,35.417523,-97.387416,10/25/2007,03:00,"(35.227, 36.2]","(-104.058, -96.949]"
sioux falls&#44 sd,sd,United States,unknown,900.0,15 minutes,11/28/2007,43.544596,-96.731103,10/25/2007,08:00,"(43.174, 44.712]","(-96.949, -93.855]"
eugene,or,United States,cylinder,18.0,18 seconds,11/28/2007,44.0522222,-123.0855556,10/25/2007,14:00,"(43.174, 44.712]","(-169.543, -122.483]"
philadelphia,pa,United States,oval,60.0,one minute,11/28/2007,39.9522222,-75.1641667,10/25/2007,16:00,"(39.927, 40.655]","(-76.978, -74.629]"
arlington,tx,United States,light,15.0,10-15 seconds,11/28/2007,32.7355556,-97.1077778,10/25/2007,19:15,"(30.421, 32.776]","(-104.058, -96.949]"
denver,co,United States,changing,180.0,2-3 minutes,11/28/2007,39.7391667,-104.9841667,10/25/2007,19:36,"(39.162, 39.927]","(-111.694, -104.058]"
wood lake,ne,United States,light,2.0,few seconds,11/28/2007,42.6386111,-100.2377778,10/25/2007,19:50,"(42.439, 43.174]","(-104.058, -96.949]"
battle creek,mi,United States,triangle,420.0,5-7 min,11/28/2007,42.3211111,-85.1797222,10/25/2007,20:30,"(41.721, 42.439]","(-85.922, -83.971]"
monterey,ca,United States,cylinder,300.0,5 minutes,11/28/2007,36.6002778,-121.8936111,10/25/2007,20:30,"(36.2, 37.669]","(-122.483, -121.787]"
victoria (canada),bc,Canada,light,60.0,60 seconds,11/28/2007,46.216667,-63.483333,10/25/2007,21:00,"(44.712, 46.73]","(-72.787, -3.381]"
vulcan (14 miles nw of) (canada),ab,Canada,circle,60.0,50-60 seconds,3/4/2008,50.4,-113.25,10/25/2007,22:05,"(48.88, 70.292]","(-116.419, -111.694]"
marion,ia,United States,light,900.0,10-15 minutes,1/21/2008,42.0341667,-91.5975,10/25/2007,22:30,"(41.721, 42.439]","(-93.855, -90.198]"
new gloucester,me,United States,light,1800.0,30 minutes,10/31/2008,43.9627778,-70.2830556,10/25/2008,01:00,"(43.174, 44.712]","(-72.787, -3.381]"
new gloucester,me,United States,other,1500.0,25 minutes,10/31/2008,43.9627778,-70.2830556,10/25/2008,01:27,"(43.174, 44.712]","(-72.787, -3.381]"
seattle,wa,United States,light,60.0,1:00,10/31/2008,47.6063889,-122.3308333,10/25/2008,07:30,"(46.73, 48.88]","(-122.483, -121.787]"
davis,ca,United States,changing,300.0,5 minutes?,1/10/2009,38.545,-121.7394444,10/25/2008,19:30,"(37.669, 38.582]","(-121.787, -118.34]"
davis,ca,United States,other,120.0,several minutes,1/10/2009,38.545,-121.7394444,10/25/2008,19:30,"(37.669, 38.582]","(-121.787, -118.34]"
san jose del cabo (baja&#44 mexico),,Mexico,fireball,900.0,15 minutes,6/9/2009,23.063656,-109.702438,10/25/2008,19:30,"(-46.165, 27.9]","(-111.694, -104.058]"
oak forest,il,United States,triangle,2.0,a few seconds,10/31/2008,41.6027778,-87.7438889,10/25/2008,20:00,"(41.246, 41.721]","(-87.821, -85.922]"
springfield,mo,United States,light,30.0,30 seconds,10/31/2008,37.2152778,-93.2980556,10/25/2008,20:00,"(36.2, 37.669]","(-93.855, -90.198]"
windsor,ca,United States,light,60.0,60 sec,10/31/2008,38.5472222,-122.8152778,10/25/2008,20:15,"(37.669, 38.582]","(-169.543, -122.483]"
mililani (around),hi,United States,chevron,120.0,2 min,1/10/2009,21.451331,-158.015281,10/25/2008,21:00,"(-46.165, 27.9]","(-169.543, -122.483]"
rock springs,wy,United States,other,120.0,1-2 min,1/10/2009,41.5875,-109.2022222,10/25/2008,21:00,"(41.246, 41.721]","(-111.694, -104.058]"
indianapolis,in,United States,fireball,900.0,15 minutes,10/31/2008,39.7683333,-86.1580556,10/25/2008,21:30,"(39.162, 39.927]","(-87.821, -85.922]"
fort walton beach,fl,United States,light,3.0,3 seconds,10/31/2008,30.4055556,-86.6188889,10/25/2008,22:00,"(27.9, 30.421]","(-87.821, -85.922]"
marion,oh,United States,triangle,60.0,1 minute,1/10/2009,40.5886111,-83.1286111,10/25/2008,22:00,"(39.927, 40.655]","(-83.971, -82.495]"
cedar rapids,ia,United States,light,120.0,2 minutes,10/31/2008,42.0083333,-91.6438889,10/25/2008,22:30,"(41.721, 42.439]","(-93.855, -90.198]"
tinley park,il,United States,oval,10.0,10 seconds,10/31/2008,41.5733333,-87.7844444,10/25/2008,22:45,"(41.246, 41.721]","(-87.821, -85.922]"
doris/weed (between),ca,United States,sphere,2.0,a few seconds,10/31/2008,41.42265,-122.386127,10/25/2008,23:00,"(41.246, 41.721]","(-122.483, -121.787]"
gilbert,az,United States,unknown,240.0,3-4 mins,10/31/2008,33.3527778,-111.7883333,10/25/2008,23:30,"(32.776, 33.631]","(-116.419, -111.694]"
wonder valley,ca,United States,disk,600.0,10 min,10/31/2008,34.155373,-115.875835,10/25/2008,23:30,"(34.148, 35.227]","(-116.419, -111.694]"
toronto (canada),on,Canada,light,2.0,few seconds,12/12/2009,43.666667,-79.416667,10/25/2009,07:00,"(43.174, 44.712]","(-80.966, -79.417]"
bath,ny,United States,unknown,8.0,8 seconds,12/12/2009,42.3369444,-77.3180556,10/25/2009,07:07,"(41.721, 42.439]","(-79.417, -76.978]"
el cajon,ca,United States,circle,900.0,15min,12/12/2009,32.7947222,-116.9616667,10/25/2009,11:00,"(32.776, 33.631]","(-118.34, -116.419]"
gardnerville,nv,United States,circle,60.0,1 min,12/12/2009,38.9413889,-119.7486111,10/25/2009,11:33,"(38.582, 39.162]","(-121.787, -118.34]"
lavalette,wv,United States,circle,180.0,2-3 min.,12/12/2009,38.3227778,-82.4469444,10/25/2009,16:00,"(37.669, 38.582]","(-82.495, -80.966]"
sturgeon bay,wi,United States,oval,360.0,6 minutes +,12/12/2009,44.8341667,-87.3769444,10/25/2009,18:15,"(44.712, 46.73]","(-87.821, -85.922]"
the woodlands,tx,United States,unknown,45.0,45 seconds,12/12/2009,30.1577778,-95.4891667,10/25/2009,19:55,"(27.9, 30.421]","(-96.949, -93.855]"
hemet,ca,United States,rectangle,5.0,5 seconds,12/12/2009,33.7475,-116.9711111,10/25/2009,20:30,"(33.631, 34.148]","(-118.34, -116.419]"
hemet,ca,United States,triangle,60.0,1 minute,12/12/2009,33.7475,-116.9711111,10/25/2009,20:45,"(33.631, 34.148]","(-118.34, -116.419]"
barrhead (canada),ab,Canada,light,90.0,1.5 minutes,11/21/2010,54.116667,-114.4,10/25/2010,07:12,"(48.88, 70.292]","(-116.419, -111.694]"
yuba city,ca,United States,cigar,120.0,2 minutes,11/21/2010,39.1405556,-121.6158333,10/25/2010,09:00,"(38.582, 39.162]","(-121.787, -118.34]"
omer,mi,United States,,10.0,5-10 sec,11/21/2010,44.0475,-83.8544444,10/25/2010,19:25,"(43.174, 44.712]","(-83.971, -82.495]"
plainfield,il,United States,triangle,60.0,1 minute,11/21/2010,41.6269444,-88.2038889,10/25/2010,22:45,"(41.246, 41.721]","(-90.198, -87.821]"
new york city (brooklyn),ny,United States,light,2400.0,~40 minutes,11/21/2010,40.7141667,-74.0063889,10/25/2010,23:00,"(40.655, 41.246]","(-74.629, -72.787]"
amherst,va,United States,unknown,7200.0,2hrs. plus,4/3/2011,37.585,-79.0516667,10/25/2010,23:30,"(36.2, 37.669]","(-79.417, -76.978]"
mt. vernon,wa,United States,oval,60.0,1 minute,11/21/2010,48.4213889,-122.3327778,10/25/2010,23:30,"(46.73, 48.88]","(-122.483, -121.787]"
bridgend (uk/england),,United Kingdom,sphere,3600.0,ongoing more than an hour,10/25/2011,51.505833,-3.577222,10/25/2011,00:30,"(48.88, 70.292]","(-72.787, -3.381]"
north bergen,nj,United States,circle,6.0,6 sec,10/25/2011,40.8041667,-74.0125,10/25/2011,04:00,"(40.655, 41.246]","(-74.629, -72.787]"
bernardsville,nj,United States,fireball,5.0,2-5 seconds,12/12/2011,40.7186111,-74.5697222,10/25/2011,05:45,"(40.655, 41.246]","(-74.629, -72.787]"
accokeek (on hwy 210),md,United States,light,15.0,15 seconds,12/12/2011,38.6675,-77.0286111,10/25/2011,06:50,"(38.582, 39.162]","(-79.417, -76.978]"
troy,nc,United States,rectangle,120.0,2 min,12/12/2011,35.3583333,-79.8947222,10/25/2011,09:00,"(35.227, 36.2]","(-80.966, -79.417]"
troy,nc,United States,rectangle,120.0,2 min,12/12/2011,35.3583333,-79.8947222,10/25/2011,09:00,"(35.227, 36.2]","(-80.966, -79.417]"
kennewick,wa,United States,light,8.0,8 sec,12/12/2011,46.2113889,-119.1361111,10/25/2011,09:52,"(44.712, 46.73]","(-121.787, -118.34]"
albuquerque,nm,United States,cylinder,15.0,15 sec,12/12/2011,35.0844444,-106.6505556,10/25/2011,11:00,"(34.148, 35.227]","(-111.694, -104.058]"
vancouver,wa,United States,cigar,60.0,1 minute,12/12/2011,45.6388889,-122.6602778,10/25/2011,13:10,"(44.712, 46.73]","(-169.543, -122.483]"
stratford,ct,United States,teardrop,300.0,5 minutes,10/25/2011,41.1844444,-73.1336111,10/25/2011,13:40,"(40.655, 41.246]","(-74.629, -72.787]"
stroudsburg,pa,United States,light,720.0,12 minutes,12/12/2011,40.9866667,-75.195,10/25/2011,16:15,"(40.655, 41.246]","(-76.978, -74.629]"
jefferson,ga,United States,circle,30.0,30 seconds,12/12/2011,34.1169444,-83.5725,10/25/2011,17:30,"(33.631, 34.148]","(-83.971, -82.495]"
santa fe,nm,United States,cone,900.0,15 min,12/12/2011,35.6869444,-105.9372222,10/25/2011,18:00,"(35.227, 36.2]","(-111.694, -104.058]"
matteson,il,United States,formation,1200.0,20min,12/12/2011,41.5038889,-87.7130556,10/25/2011,18:20,"(41.246, 41.721]","(-87.821, -85.922]"
matteson,il,United States,triangle,1200.0,15-20 min,12/12/2011,41.5038889,-87.7130556,10/25/2011,18:20,"(41.246, 41.721]","(-87.821, -85.922]"
yakima,wa,United States,triangle,60.0,1 minute,12/12/2011,46.6022222,-120.5047222,10/25/2011,20:00,"(44.712, 46.73]","(-121.787, -118.34]"
roseville,ca,United States,light,60.0,1 minute,12/12/2011,38.7522222,-121.2869444,10/25/2011,20:25,"(38.582, 39.162]","(-121.787, -118.34]"
hanover,nh,United States,fireball,3.0,2-3 seconds,12/12/2011,43.7022222,-72.29,10/25/2011,20:59,"(43.174, 44.712]","(-72.787, -3.381]"
brighton (canada),on,Canada,sphere,900.0,15 min,12/12/2011,44.033333,-77.733333,10/25/2011,21:30,"(43.174, 44.712]","(-79.417, -76.978]"
vacaville,ca,United States,diamond,120.0,2minutes,12/12/2011,38.3566667,-121.9866667,10/25/2011,21:30,"(37.669, 38.582]","(-122.483, -121.787]"
palmer-monson,ma,United States,triangle,2400.0,40 minutes,8/5/2012,42.080698,-72.307433,10/25/2011,22:00,"(41.721, 42.439]","(-72.787, -3.381]"
vacaville,ca,United States,triangle,120.0,2 minutes,12/12/2011,38.3566667,-121.9866667,10/25/2011,22:20,"(37.669, 38.582]","(-122.483, -121.787]"
greensburg,ky,United States,cigar,1800.0,30 minutes,12/12/2011,37.2608333,-85.4988889,10/25/2011,23:00,"(36.2, 37.669]","(-85.922, -83.971]"
seattle,wa,United States,light,60.0,about 1 minute,1/12/2012,47.6063889,-122.3308333,10/25/2011,23:00,"(46.73, 48.88]","(-122.483, -121.787]"
cumming,ga,United States,cigar,60.0,1 minute,10/30/2012,34.2072222,-84.1402778,10/25/2012,09:35,"(34.148, 35.227]","(-85.922, -83.971]"
riverside,ca,United States,formation,30.0,30 seconds,2/4/2013,33.9533333,-117.3952778,10/25/2012,11:00,"(33.631, 34.148]","(-118.34, -116.419]"
st. louis (west),mo,United States,disk,60.0,30-60 seconds,10/30/2012,38.6272222,-90.1977778,10/25/2012,16:30,"(38.582, 39.162]","(-93.855, -90.198]"
cape san blas,fl,United States,fireball,2.0,seconds,11/4/2012,29.663547,-85.355475,10/25/2012,19:45,"(27.9, 30.421]","(-85.922, -83.971]"
north augusta,sc,United States,circle,240.0,3-4 minutes,10/30/2012,33.5016667,-81.9652778,10/25/2012,19:50,"(32.776, 33.631]","(-82.495, -80.966]"
kings park,ny,United States,triangle,120.0,2 minutes,10/30/2012,40.8861111,-73.2577778,10/25/2012,20:30,"(40.655, 41.246]","(-74.629, -72.787]"
yakima,wa,United States,light,240.0,4 minutes,3/3/2013,46.6022222,-120.5047222,10/25/2012,21:00,"(44.712, 46.73]","(-121.787, -118.34]"
toronto (canada),on,Canada,rectangle,300.0,5 minutes,10/30/2012,43.666667,-79.416667,10/25/2012,22:00,"(43.174, 44.712]","(-80.966, -79.417]"
north pole,ak,United States,light,15.0,15 seconds,12/20/2012,64.7511111,-147.3494444,10/25/2012,23:00,"(48.88, 70.292]","(-169.543, -122.483]"
sacramento,ca,United States,disk,2.0,2 seconds,10/30/2012,38.5816667,-121.4933333,10/25/2012,23:00,"(37.669, 38.582]","(-121.787, -118.34]"
butler,pa,United States,light,120.0,2 minutes,12/23/2013,40.8611111,-79.8955556,10/25/2013,00:00,"(40.655, 41.246]","(-80.966, -79.417]"
beverly hills,ca,United States,circle,60.0,~1 minute,11/11/2013,34.0736111,-118.3994444,10/25/2013,02:15,"(33.631, 34.148]","(-121.787, -118.34]"
salt lake city (cottonwood heights),ut,United States,sphere,180.0,3 minutes,11/11/2013,40.7608333,-111.8902778,10/25/2013,06:17,"(40.655, 41.246]","(-116.419, -111.694]"
wellington,co,United States,unknown,2700.0,45+ minutes,11/11/2013,40.7038889,-105.0080556,10/25/2013,08:15,"(40.655, 41.246]","(-111.694, -104.058]"
elkton,md,United States,other,1800.0,30+ minutes,11/11/2013,39.6066667,-75.8336111,10/25/2013,10:00,"(39.162, 39.927]","(-76.978, -74.629]"
mexico city (mexico),,Fuck,cross,300.0,5 minutes,1/30/2014,19.432608,-99.133208,10/25/2013,11:11,"(-46.165, 27.9]","(-104.058, -96.949]"
al warqaa 1 (u.a.r.),,Fuck,light,600.0,5-10 minutes,11/11/2013,25.187459,55.405636,10/25/2013,18:25,"(-46.165, 27.9]","(-3.381, 178.018]"
milwaukee,wi,United States,circle,120.0,2 minutes,11/11/2013,43.0388889,-87.9063889,10/25/2013,19:00,"(42.439, 43.174]","(-90.198, -87.821]"
flushing,mi,United States,oval,600.0,10 minutes,11/11/2013,43.0630556,-83.8511111,10/25/2013,19:30,"(42.439, 43.174]","(-83.971, -82.495]"
padang (west sumatra) (indonesia),,Indonesia,light,7200.0,2 hours,11/11/2013,-0.95,100.353056,10/25/2013,19:50,"(-46.165, 27.9]","(-3.381, 178.018]"
baltimore,md,United States,formation,600.0,10 minutes,11/11/2013,39.2902778,-76.6125,10/25/2013,20:00,"(39.162, 39.927]","(-76.978, -74.629]"
des moines,ia,United States,triangle,10.0,8-10 seconds,11/11/2013,41.6005556,-93.6088889,10/25/2013,20:00,"(41.246, 41.721]","(-93.855, -90.198]"
morris,il,United States,unknown,2400.0,30-40 minutes,11/11/2013,41.3572222,-88.4211111,10/25/2013,20:00,"(41.246, 41.721]","(-90.198, -87.821]"
katy,tx,United States,fireball,180.0,3 minutes,11/11/2013,29.7855556,-95.8241667,10/25/2013,20:15,"(27.9, 30.421]","(-96.949, -93.855]"
pittsburgh,pa,United States,disk,420.0,7 minutes,11/11/2013,40.4405556,-79.9961111,10/25/2013,20:15,"(39.927, 40.655]","(-80.966, -79.417]"
ellicott city,md,United States,circle,120.0,2 minutes,11/11/2013,39.2672222,-76.7986111,10/25/2013,20:27,"(39.162, 39.927]","(-76.978, -74.629]"
lake lure,nc,United States,light,900.0,10-15 minutes,12/23/2013,35.4277778,-82.205,10/25/2013,20:30,"(35.227, 36.2]","(-82.495, -80.966]"
nampa,id,United States,disk,27.0,.45 minutes,11/11/2013,43.5408333,-116.5625,10/25/2013,20:30,"(43.174, 44.712]","(-118.34, -116.419]"
meridian,id,United States,disk,900.0,15 minutes,11/11/2013,43.6122222,-116.3905556,10/25/2013,21:00,"(43.174, 44.712]","(-116.419, -111.694]"
sarasota,fl,United States,rectangle,60.0,~1 minute,11/11/2013,27.3361111,-82.5308333,10/25/2013,21:00,"(-46.165, 27.9]","(-83.971, -82.495]"
centerville,oh,United States,fireball,600.0,10 minutes,11/11/2013,39.6283333,-84.1594444,10/25/2013,21:40,"(39.162, 39.927]","(-85.922, -83.971]"
playa del rey,ca,United States,flash,120.0,2 minutes,11/11/2013,33.9488889,-118.4447222,10/25/2013,22:00,"(33.631, 34.148]","(-121.787, -118.34]"
loganville,ga,United States,triangle,1800.0,30 minutes,11/11/2013,33.8388889,-83.9008333,10/25/2013,22:15,"(33.631, 34.148]","(-83.971, -82.495]"
waukee,ia,United States,circle,420.0,7 minutes,11/11/2013,41.6116667,-93.885,10/25/2013,22:15,"(41.246, 41.721]","(-96.949, -93.855]"
seaside park,nj,United States,cross,30.0,30 seconds,11/11/2013,39.9266667,-74.0775,10/25/2013,22:30,"(39.162, 39.927]","(-74.629, -72.787]"
avon,fl,United States,light,180.0,3 minutes,11/11/2013,31.189344,-85.286044,10/25/2013,22:39,"(30.421, 32.776]","(-85.922, -83.971]"
milford,oh,United States,circle,600.0,10 minutes,11/11/2013,39.1752778,-84.2944444,10/25/2013,23:55,"(39.162, 39.927]","(-85.922, -83.971]"
jackson,wi,United States,formation,60.0,1 minute,11/11/2013,43.3238889,-88.1666667,10/26/1987,23:00,"(43.174, 44.712]","(-90.198, -87.821]"
brixham.devon (at sea.fishing) (uk/england),,United Kingdom,sphere,1200.0,20 minets,11/4/2002,50.39514,-3.513924,10/26/1994,02:30,"(48.88, 70.292]","(-72.787, -3.381]"
newport beach,ca,United States,changing,150.0,2.5 minutes,3/27/2014,33.6188889,-117.9280556,10/26/1996,02:00,"(32.776, 33.631]","(-118.34, -116.419]"
marksville (spring bayou&#44 1st landing),la,United States,triangle,300.0,5 minutes,10/2/1999,31.1277778,-92.0661111,10/26/1996,20:30,"(30.421, 32.776]","(-93.855, -90.198]"
charlotte,nc,United States,triangle,2.0,few seconds,8/30/1999,35.2269444,-80.8433333,10/26/1997,22:00,"(34.148, 35.227]","(-80.966, -79.417]"
marina del rey,ca,United States,,120.0,1-2 minutes,11/1/1998,33.9802778,-118.4508333,10/26/1998,00:30,"(33.631, 34.148]","(-121.787, -118.34]"
kaufman (outside of),tx,United States,light,35.0,35sec.,11/1/1998,32.5888889,-96.3086111,10/26/1998,03:23,"(30.421, 32.776]","(-96.949, -93.855]"
pewaukee,wi,United States,fireball,30.0,30 sec,11/1/1998,43.0805556,-88.2611111,10/26/1998,04:50,"(42.439, 43.174]","(-90.198, -87.821]"
cleburne,tx,United States,light,7.0,7 seconds,1/28/1999,32.3475,-97.3863889,10/26/1998,07:00,"(30.421, 32.776]","(-104.058, -96.949]"
redding (a couple miles south of),ca,United States,circle,1.0,about 1 second,11/19/1998,40.5866667,-122.3905556,10/26/1998,17:00,"(39.927, 40.655]","(-122.483, -121.787]"
redding,ca,United States,oval,1.0,a second or two,11/19/1998,40.5866667,-122.3905556,10/26/1998,17:00,"(39.927, 40.655]","(-122.483, -121.787]"
corfu (darien/pembroke/alexander),ny,United States,triangle,1800.0,about 30 mins,9/19/2002,42.96,-78.4058333,10/26/1998,18:05,"(42.439, 43.174]","(-79.417, -76.978]"
seattle,wa,United States,fireball,3.0,2-3 seconds,11/1/1998,47.6063889,-122.3308333,10/26/1998,18:15,"(46.73, 48.88]","(-122.483, -121.787]"
tumwater (driving n on i-5),wa,United States,fireball,3.0,2-3 seconds,11/1/1998,47.0075,-122.9080556,10/26/1998,18:18,"(46.73, 48.88]","(-169.543, -122.483]"
roseville,ca,United States,fireball,15.0,15 seconds?,11/1/1998,38.7522222,-121.2869444,10/26/1998,21:50,"(38.582, 39.162]","(-121.787, -118.34]"
scottsdale,az,United States,other,10.0,5-10 seconds,11/1/1998,33.5091667,-111.8983333,10/26/1998,23:14,"(32.776, 33.631]","(-116.419, -111.694]"
spencer,ia,United States,fireball,4.0,3-4 seconds,11/1/1998,43.1413889,-95.1441667,10/26/1998,24:00,"(42.439, 43.174]","(-96.949, -93.855]"
vancouver (watching from field at barn),wa,United States,fireball,15.0,15 seconds,11/1/1998,45.6388889,-122.6602778,10/26/1998,24:00,"(44.712, 46.73]","(-169.543, -122.483]"
reseda,ca,United States,sphere,7200.0,2 hrs.,11/2/1999,34.2011111,-118.5355556,10/26/1999,01:40,"(34.148, 35.227]","(-121.787, -118.34]"
costa mesa,ca,United States,light,3600.0,1hr(still occuring),11/2/1999,33.6411111,-117.9177778,10/26/1999,02:38,"(33.631, 34.148]","(-118.34, -116.419]"
dallas,tx,United States,triangle,78.0,1.3min,10/12/2001,32.7833333,-96.8,10/26/1999,02:40,"(32.776, 33.631]","(-96.949, -93.855]"
dfw airport (north of) (dallas),tx,United States,,60.0,60 sec,10/12/2001,32.899809,-97.040335,10/26/1999,02:40,"(32.776, 33.631]","(-104.058, -96.949]"
carthage,tx,United States,triangle,7200.0,2hr,11/2/1999,32.1572222,-94.3372222,10/26/1999,04:30,"(30.421, 32.776]","(-96.949, -93.855]"
cookstown,nj,United States,cylinder,1800.0,30 min,11/2/1999,40.0488889,-74.5627778,10/26/1999,06:00,"(39.927, 40.655]","(-74.629, -72.787]"
